Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH XUÂN THÀNH MC,5500657258,,08 6789 8908,,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,,,,
CÔNG TY TNHH VÀNG QUÂN CHÍNH,5500657240,,0976919555,,Chi cục Thuế khu vực Thành phố Sơn La - Mường La,,,,
CÔNG TY TNHH VŨ LINH CHI,VU LINH CHI COMPANY LIMITED,"89 Phan Đình Giót, Thị Trấn Mộc Châu, Huyện Mộc Châu, Tỉnh Sơn La, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH QUẢN LÝ VÀ KD BẤT ĐỘNG SẢN FL 99,5500657096,,0989532926,,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,,,,
CÔNG TY TNHH QUÂN PHÚC SƠN LA,5500657071,,0988219898,,Chi cục Thuế khu vực Sông Mã - Sốp Cộp,,,,
CÔNG TY TNHH VÀNG BẠC TRUNG DŨNG,5500657089,,0348468888,,Chi cục Thuế khu vực Sông Mã - Sốp Cộp,,,,
CÔNG TY TNHH ẨM THỰC CHAY TUỆ MINH GALAXY,5500657106,,0922576532,,Chi cục Thuế khu vực Thuận Châu - Quỳnh Nhai,,,,
CÔNG TY TNHH MTV MINH KHÔI MỘC CHÂU,5500657120,,0985666886,,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MỘC CHÂU SL,MOC CHAU SL SERVICES TRADING COMPANY LIMITED,5500657113,"120 Tiểu khu 2, Thị Trấn Mộc Châu, Huyện Mộc Châu, Tỉnh Sơn La, Việt Nam",LÊ VĂN TUẤN,0568902704,2024-08-14,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI HẢI HÀ VÂN HỒ,5500657057,,0869917989,,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,,,,
CÔNG TY CỔ PHẦN PUMI VIỆT NAM,5500657297,,0986127635,,Chi cục Thuế khu vực Thành phố Sơn La - Mường La,,,,
CÔNG TY TNHH QUẢNG CÁO TẤN TÀI MINH,5500657265,,0398543304,,Chi cục Thuế khu vực Phù Yên - Bắc Yên,,,,
CÔNG TY TNHH QUỲNH KHANG SƠN LA,5500657346,,0987153839,,Chi cục Thuế khu vực Mai Sơn - Yên Châu,,,,
CÔNG TY TNHH TMDV TÂN LỘC,5500657339,,0921766364,,Chi cục Thuế khu vực Thành phố Sơn La - Mường La,,,,
CÔNG TY TNHH BÁNH GẠO HOÀI LINH,5500657353,,0923625881,,Chi cục Thuế khu vực Mai Sơn - Yên Châu,,,,
CÔNG TY TNHH MỸ PHẨM NƯỚC HOA FLAVOUR MEN,5500657360,,0368196348,,Chi cục Thuế khu vực Sông Mã - Sốp Cộp,,,,
CÔNG TY TNHH PHÂN PHỐI MỸ PHẨM MAILISA,5500657378,,0918860376,,Chi cục Thuế khu vực Mộc Châu - Vân Hồ,,,,
CÔNG TY CỔ PHẦN CHÂU MỘC LAND,CHAU MOC LAND JOINT STOCK COMPANY,"Số nhà 191, Đường Tô Hiệu, Tiểu khu 4, Thị Trấn Mộc Châu, Huyện Mộc Châu, Tỉnh Sơn La, Việt Nam",,,,,,,
CÔNG TY TNHH LINH THIỆN SƠN LA,SON LA LINH THIEN LIMITED COMPANY,"Xóm Trường Đoàn , Xã Chiềng Pha, Huyện Thuận Châu, Tỉnh Sơn La, Việt Nam",,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠI LÂM TÂY BẮC,5500657441,,,,,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN XUÂN HỒNG TANI,XUAN HONG TANI ONE MEMBER LIMITED LIABILITY COMPANY,3901349955,"nhà số 1C, hẻm 4, đường 30/4, khu phố 5, Phường IV, Thành phố Tây Ninh, Tỉnh Tây Ninh, Việt Nam",NGUYỄN NGÀN XUÂN,0962425373,2024-08-27,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH NÔNG NGHIỆP TUẦN HOÀN CÔNG NGHỆ CAO NGUYÊN KHANG,3901349994,,0767871140,,Chi cục Thuế khu vực Hòa Thành - Dương Minh Châu,,,,
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU TÂM KHẢI HƯNG,3901350037,,0768 846846,,Chi cục Thuế khu vực Tân Biên - Tân Châu,,,,
CÔNG TY TNHH THI CÔNG XÂY DỰNG BĂNG CHÂU,3901350012,,0813339004,,Chi cục Thuế khu vực Tân Biên - Tân Châu,,,,
CÔNG TY TNHH HOÀNG NGỌC ĐĂNG,3901350005,,0868870970,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH SẢN XUẤT GỖ NGUYỄN TRUNG TIẾN,3901350044,,0773977770,,Chi cục Thuế khu vực Tân Biên - Tân Châu,,,,
CÔNG TY TNHH TMDV SẢN XUẤT HƯNG MINH,3901350083,,0912471878,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
DOANH NGHIỆP TN NGỌC HUỲNH NHƯ,NGOC HUYNH NHU PRIVATE ENTERPRISE,3901350090,"Tổ 6, ấp Thanh Đông, Xã Thanh Điền, Huyện Châu Thành, Tỉnh Tây Ninh, Việt Nam",LÊ THỊ TUYẾT NGUYÊN,0949268344,2024-08-29,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TMDV TỔNG HỢP TRẦN MẠNH,3901350076,,0912689178,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HÒA NHÂN,CÔNG TY TNHH MTV HÒA NHÂN,"Số 43, Đường Quốc lộ 22B, Ấp Thanh Thuận, Xã Thanh Điền, Huyện Châu Thành, Tỉnh Tây Ninh, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,
CÔNG TY TNHH B.T.P (VIỆT NAM),B.T.P (VIỆT NAM) LIMITED,"Lô A13, đường C1, Khu công nghiệp Thành Thành Công, Phường An Hòa, Thị xã Trảng Bàng, Tỉnh Tây Ninh, Việt Nam",,,2024-08-29,Cục Thuế Tỉnh Tây Ninh,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XUẤT NHẬP KHẨU NÔNG SẢN NINH PHÚC,NINH PHUC AGRICULTURAL PRODUCTS IMPORT EXPORT COMPANY LIMITED,3901350118,"Số 36, Hẻm 04 Nguyễn Chí Thanh, Khu phố 6 , Thị Trấn Tân Biên, Huyện Tân Biên, Tỉnh Tây Ninh, Việt Nam",NGUYỄN TỐNG DUY PHÚC,0931888880,2024-08-30,Chi cục Thuế khu vực Tân Biên - Tân Châu,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN DỊCH VỤ GIẤY TỜ XE NGỌC THANH PHONG,3901350100,,0989227722,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH TMDV VẬT LIỆU XÂY DỰNG LINH NGÔ SP,3901350132,,,,,,,,
CÔNG TY TNHH ONG DÚ THIÊN NHIÊN VIỆT NAM,3901350125,,0978636652,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CHI NHÁNH TÂY NINH - CÔNG TY TNHH THE M ACADEMY,0318590865-001,,0919441854,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH TMDV HẠNH PHÚC,3901350206,,0845955559,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH VĂN PHÒNG TƯ VẤN VAY VỐN CẨM TÚ,CTY TNHH VP TV VV CẨM TÚ,"Thửa đất số 4055, tờ bản đồ số 04, ấp Trâm Vàng 2, Xã Thanh Phước, Huyện Gò Dầu, Tỉnh Tây Ninh, Việt Nam",,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRUNG TÂY NINH,TRUNG TAY NINH TRADING SERVICES COMPANY LIMITED,3901350277,"Tổ 5, Ấp 6, Xã Bàu Đồn, Huyện Gò Dầu, Tỉnh Tây Ninh, Việt Nam",LÊ THANH PHƯỚC,,,,,
CÔNG TY TNHH TÍN PHÚC TÂY NINH,TIN PHUC TAY NINH COMPANY LIMITED,3901350220,"Số 490A, đường Trần Phú, Xã Long Thành Nam, Thị xã Hoà Thành, Tỉnh Tây Ninh, Việt Nam",TRẦN MINH HÒA,,,,,
CÔNG TY TNHH SẮT THÉP XÂY DỰNG VẬN CHUYỂN HẢI DƯƠNG,3901350245,,0838570046,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH TMDV XUÂN THỦY SP,3901350252,,0914056578,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH CHIẾN THẮNG PHÁT TÀI,3901350238,,0585929427,,Chi cục Thuế khu vực Thành phố Tây Ninh - Châu Thành,,,,
CÔNG TY TNHH BÊ TÔNG AN HOÀ VÀ CẤU KIỆN TÂY NINH,AN HOA CONCRETE AND TAY NINH STRUCTURES COMPANY LIMITED,3901350284,"Số 10, Đường D8, Khu Dân Cư Thành Thành Công, Khu phố An Quới, Phường An Hòa, Thị xã Trảng Bàng, Tỉnh Tây Ninh, Việt Nam",TRẦN TUẤN KIỆT,,,,,
CÔNG TY TNHH MTV THÁI DUYÊN,3901350291,,,,,,,,
CÔNG TY CỔ PHẦN HƯNG PHÁT HOME,HUNG PHAT HOME JOINT STOCK COMPANY,1001284010,"SN 19, Đường Nguyễn Văn Năng, Tổ 10 , Phường Trần Lãm, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",NGUYỄN GIA SƠN,0984242193,2024-08-28,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH CÔNG NGHỆ VĨ KIỆT,VI KIET TECHNOLOGY COMPANY LIMITED,1001284003,"Số nhà 725 đường Long Hưng, Tổ dân phố Đồng Tu 1, Thị Trấn Hưng Hà, Huyện Hưng Hà, Tỉnh Thái Bình, Việt Nam",TRẦN THỊ TÚ,0974689828,2024-08-28,Chi cục Thuế khu vực Quỳnh Phụ - Hưng Hà,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH GỖ VÀ NỘI THẤT TRẦN LỘC,1001283994,,0933101429,,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,,,,
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TỔNG HỢP SÔNG HỒNG,1001284081,,0973963555,,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,,,,
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TỔNG HỢP SÔNG TRÀ,1001284067,,0968262263,,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,,,,
CÔNG TY TNHH PCCC HTH THÁI BÌNH,1001284099,,0912684114,,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,,,,
CÔNG TY TNHH THƯƠNG MẠI THANG MÁY HOÀNG GIA,1001284074,,0943663866,,Chi cục Thuế Huyện Đông Hưng,,,,
CÔNG TY TNHH TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG HÀ LINH,1001284042,,0986269666,,Chi cục Thuế khu vực Tiền Hải - Kiến Xương,,,,
CÔNG TY TNHH KỸ THUẬT XÂY DỰNG YINGSHENG VIỆT NAM,Vietnam YingSheng Construction Engineering Company Limited,"Nhà ông Nguyễn Như Lâm, thôn An Lệnh, Xã Thụy Liên, Huyện Thái Thụy, Tỉnh Thái Bình, Việt Nam",,,2024-08-27,Cục Thuế Tỉnh Thái Bình,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TỔ CHỨC SỰ KIỆN VÀ TRUYỀN THÔNG MV,1001283916,,0961386396,,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,,,,
CÔNG TY TNHH VTB THỊNH PHÁT,VTB THINH PHAT COMPANY LIMITED,"Lô đất 195.282,3 m2, Thôn Quang Lang Đoài, Xã Thụy Hải, Huyện Thái Thụy, Tỉnh Thái Bình, Việt Nam",,,2024-08-28,Cục Thuế Tỉnh Thái Bình,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH U KWONG PACKAGING THÁI BÌNH,U KWONG PACKAGING THAI BINH COMPANY LIMITED,"Lô CCN3 Cụm công nghiệp Thuỵ Sơn, Thôn Thượng Phúc, Xã Thụy Sơn, Huyện Thái Thụy, Tỉnh Thái Bình, Việt Nam",,,2024-08-28,Cục Thuế Tỉnh Thái Bình,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH VINH TIÊN HƯNG,1001284035,,0395661338,,Chi cục Thuế Huyện Đông Hưng,,,,
CÔNG TY TNHH HOA THANH HỒNG,HOA THANH HONG COMPANY LIMITED,1001283955,"Số 92 đường Bùi Thị Xuân, KĐT Petro Thăng Long, tổ 5, Phường Quang Trung, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",TRẦN DUY THANH,0931568262,2024-08-28,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH CÔNG NGHỆ TRUNG NHUẬN,TRUNG NHUAN TECHNOLOGY COMPANY LIMITED,1001284123,"Lô đất 2565 m2, Cụm công nghiệp Đồng Tu, đường QL39A, Thị Trấn Hưng Hà, Huyện Hưng Hà, Tỉnh Thái Bình, Việt Nam",ĐỖ THỊ HUẾ,0375715669,2024-08-30,Chi cục Thuế khu vực Quỳnh Phụ - Hưng Hà,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUANG PHÚC LÊ,1001284116,,0888818226,,Chi cục Thuế khu vực thành phố Thái Bình - Vũ Thư,,,,
CÔNG TY TNHH TV - CÂY XANH ĐÔ THỊ THÁI BÌNH,1001284109,,0985986682,,Cục Thuế Tỉnh Thái Bình,,,,
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ VẬN TẢI VÀ SẢN XUẤT GIA HẠNH,1001284155,,,,,,,,
CÔNG TY TNHH NHẬT HƯƠNG FOOD,1001284162,,,,,,,,
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THANH NGỌC,1001284130,,0982586298,,Chi cục Thuế khu vực Quỳnh Phụ - Hưng Hà,,,,
CÔNG TY TNHH NGHIÊN CỨU PHÁT TRIỂN GIÁO DỤC VÀ CÔNG NGHỆ AK,AK TECHNOLOGY AND EDUCATION DEVELOPMENT RESEARCH COMPANY LIMITED,1001284187,"Tại nhà ông Nguyễn Duy Thiếp, Xóm 6, Thôn Hải Linh, Xã Mỹ Lộc, Huyện Thái Thụy, Tỉnh Thái Bình, Việt Nam",NGUYỄN THỊ KIM LÝ,,,,,
CÔNG TY TNHH TVDHN-XKLD NGA BÙI GORDON,NGA BUI GORDON TVDHN-XKLD COMPANY LIMITED,1001284148,"Số nhà 30, đường 15, tổ 5, Phường Quang Trung, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",BÙI THỊ NGA,,,,,
CÔNG TY TNHH THÁI BÌNH AN KHANG,THAI BINH AN KHANG COMPANY LIMITED,1001284194,"Nhà bà Luyến, thôn Vọng Hải, Xã Hòa An, Huyện Thái Thụy, Tỉnh Thái Bình, Việt Nam",NGÔ THỊ LUYẾN,,,,,
CÔNG TY TNHH MTV VIỆT HƯNG TB,1001284211,,,,,,,,
CÔNG TY TNHH THÁI BÌNH BUILDING,1001284204,,,,,,,,
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI HÙNG PHÁT VN,4601622387,,0335381989,,Chi cục Thuế Thành phố Thái Nguyên,,,,
CÔNG TY TNHH BÙI THỊ TÂM THÁI NGUYÊN,4601622362,,0377 693 506,,Chi cục Thuế khu vực Đồng Hỷ - Võ Nhai,,,,
CÔNG TY TNHH XD TM TUÂN HÒA,4601622482,,0708770475,,Chi cục Thuế Thành phố Thái Nguyên,,,,
CÔNG TY CỔ PHẦN GMT XUÂN HẢI NAM,GMT XUAN HAI NAM JOINT STOCK COMPANY,4601622443,"Số 189, đường Phạm Tu, tổ dân phố Cầu Tiến, Phường Tân Hương, Thành phố Phổ Yên, Tỉnh Thái Nguyên, Việt Nam",NGUYỄN XUÂN LẬP,0978582025,2024-08-29,Chi cục Thuế khu vực Phổ Yên - Phú Bình,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SXTM BẢO LÂM,4601622524,,0889934555,,Chi cục Thuế khu vực Phổ Yên - Phú Bình,,,,
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TUẤN PHÚ THÁI,4601622531,,0977340999,,Chi cục Thuế khu vực Sông Công - Đại Từ,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ VẬN TẢI NGỌC DŨNG 68 ĐẠI TỪ,NGOC DUNG 68 DAI TU TRADING AND TRANSPORTATION COMPANY LIMITED,"Xóm Đồng Mạc, Xã Tiên Hội, Huyện Đại Từ, Tỉnh Thái Nguyên, Việt Nam",,,2024-08-29,Cục Thuế Tỉnh Thái Nguyên,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH XNK ĐẠI DƯƠNG THÁI NGUYÊN,4601622468,,0828666669,,Chi cục Thuế Thành phố Thái Nguyên,,,,
CÔNG TY TNHH CINOTEX INTELLIGENCE (VIET NAM),CINOTEX INTELLIGENCE (VIET NAM) COMPANY LIMITED,4601622475,"Khu B, KCN Sông Công I, Phường Bách Quang, Thành phố Sông Công, Tỉnh Thái Nguyên, Việt Nam","QIN, FENG",18125362706,2024-08-29,Cục Thuế Tỉnh Thái Nguyên,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ ĐỒNG QUANG,4601622549,,0823377162,,Chi cục Thuế khu vực Đồng Hỷ - Võ Nhai,,,,
CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ DHP,DHP INTERNATIONAL TRADE COMPANY LIMITED,"Số nhà 381 tổ 2, Phường Tân Lập, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",,,2024-08-30,Chi cục Thuế Thành phố Thái Nguyên,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH AN KHANG PHỔ YÊN,4601622556,,0343826622,,Chi cục Thuế khu vực Phổ Yên - Phú Bình,,,,
CHI NHÁNH LAB (TRUNG TÂM THỬ NGHIỆM TNG) - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI TNG,4600305723-028,,2024-08-29,,,,,,
CÔNG TY TNHH TM MINH ĐĂNG KHÔI,4601622570,,0208 3835999,,Chi cục Thuế Thành phố Thái Nguyên,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DƯỠNG TÂM ĐƯỜNG,4601622612,,0912748727,,Chi cục Thuế Thành phố Thái Nguyên,,,,
CÔNG TY TNHH HUY VƯỢNG PHÁT,HUY VUONG PHAT COMPANY LIMITED,"Tổ 10, Phường Phú Xá, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",,,2024-09-04,Chi cục Thuế Thành phố Thái Nguyên,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN ĐẦU TƯ DỊCH VỤ VÀ CÔNG NGHỆ LTC,4601622605,,0902713333,,Chi cục Thuế Thành phố Thái Nguyên,,,,
CÔNG TY TNHH TFC HOÀNG SƠN,4601622651,,0855754341,,Chi cục Thuế khu vực Đồng Hỷ - Võ Nhai,,,,
CÔNG TY TNHH TMDV XUẤT NHẬP KHẨU HẢI ĐĂNG,4601622700,,,,,,,,
CÔNG TY TNHH MINH THUẬN PHÁT STEEL,MINH THUAN PHAT STEEL LIMITED LIABILITY COMPANY,4601622718,"Tổ 7, Phường Đồng Quang, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",PHAN VĂN TỨ,,,,,
CÔNG TY TNHH VẬN TẢI T&M THÁI NGUYÊN,4601622690,,,,,,,,
CÔNG TY TNHH CÔNG NGHIỆP VÀ DỊCH VỤ TRUNG THÀNH,4601622683,,,,,,,,
CÔNG TY TNHH GIÁO DỤC THẢO ANH EDU,THAO ANH EDU EDUCATION COMPANY LIMITED,4601622757,"Số nhà 56, Tổ 3, Phường Chùa Hang, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",ĐỖ THỊ THÚY MÙI,,,,,
CÔNG TY TNHH THÁI NGUYÊN LUXURY AUTO,THAI NGUYEN LUXURY AUTO COMPANY LIMITED,4601622725,"Ngách 1/20, đường Túc Duyên, tổ 8, Phường Túc Duyên, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",VŨ HỒNG TUYẾT,,,,,
CÔNG TY TNHH CÔNG NGHỆ GOLDYUE VIỆT NAM,GOLDYUE TECHNOLOGY VIET NAM COMPANY LIMITED,4601622764,"Nhà xưởng số 01 (B5 + B6), Lô CN9, Khu công nghiệp Sông Công II, Xã Tân Quang, Thành phố Sông Công, Tỉnh Thái Nguyên, Việt Nam",ZHANG JIAN,,,,,
CÔNG TY TNHH VẬN TẢI KHÁNH ĐẠT,2803128931,,0339322352,,Chi cục Thuế khu vực thị xã Bỉm Sơn - Hà Trung,,,,
CÔNG TY TNHH MTV YẾN SÀO SÀI GÒN,2803128963,,0357706251,,Chi cục Thuế khu vực thành phố Thanh Hóa - Đông Sơn,,,,
CÔNG TY TNHH K - MARKET HÀ TRUNG,2803128956,,0969527968,,Chi cục Thuế khu vực thị xã Bỉm Sơn - Hà Trung,,,,
CÔNG TY CỔ PHẦN MAY XUẤT KHẨU CCM VINA,CCM VINA GARMENT EXPORT JOINT STOCK COMPANY,2803129075,"Nhà số 1, Thôn 4, Xã Tiên Trang, Huyện Quảng Xương, Tỉnh Thanh Hoá, Việt Nam",LÊ THỊ HƯỜNG,0824190859,2024-09-05,Chi cục Thuế khu vực thành phố Sầm Sơn - Quảng Xương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ BẢN VIỆT,BAN VIET ELECTRONICS TRADING COMPANY LIMITED,2803129082,"Số 17 Nguyễn Trãi, Phường Tân Sơn, Thành phố Thanh Hoá, Tỉnh Thanh Hoá, Việt Nam",LÊ NGỌC CHƯƠNG,0353 391 354,2024-09-05,Chi cục Thuế khu vực thành phố Thanh Hóa - Đông Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH BAO BÌ THÙNG CARTON SHUN HING,SHUN HING CARTON PACKAGING COMPANY LIMITED,"Nhà xưởng 04, thôn 8 Khu Công Nghiệp Tiểu Thủ Công Nghiệp Thiệu Dương, Phường Thiệu Dương, Thành phố Thanh Hoá, Tỉnh Thanh Hoá, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực thành phố Thanh Hóa - Đông Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN XÂY DỰNG HẠ TẦNG LUVAMI,LUVAMI INFRASTRUCTURE CONSTRUCTION JOINT STOCK COMPANY,2803129124,"Lô B.LK 06 - 18 MBQH 199, Phường Đông Hải, Thành phố Thanh Hoá, Tỉnh Thanh Hoá, Việt Nam",ĐÀO ĐÌNH VĂN,0991321666,2024-09-05,Cục Thuế Tỉnh Thanh Hoá,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
DNTN THƯƠNG MẠI VÀ VẬN TẢI ĐỒNG TÂM KHT,2803128970,,0999586299,,Chi cục Thuế khu vực Như Thanh - Như Xuân,,,,
CÔNG TY TNHH HT THƯƠNG MẠI XUẤT NHẬP KHẨU,HT IMPORT EXPORT TRADE COMPANY LIMITED,2803128988,"Nhà ông Lê Văn Lực, Thôn Cự Thịnh, Xã Yên Thọ, Huyện Như Thanh, Tỉnh Thanh Hoá, Việt Nam",LÊ VĂN LỰC,02387564347,2024-09-04,Chi cục Thuế khu vực Như Thanh - Như Xuân,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH NƯỚC ĐẠI DƯƠNG ROSHI,2803128995,,0914 523 678,,Chi cục Thuế khu vực thành phố Thanh Hóa - Đông Sơn,,,,
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI & TRUYỀN THÔNG VĂN SỸ,2803129011,,0975 957 090,,Chi cục Thuế khu vực thành phố Sầm Sơn - Quảng Xương,,,,
CÔNG TY CỔ PHẦN VẬN TẢI BÌNH MINH TH,2803129029,,0976162219,,Chi cục Thuế khu vực Yên Định - Thiệu Hóa,,,,
CÔNG TY TNHH Y DƯỢC ĐỨC CƯỜNG,2803129004,,0982613626,,Chi cục Thuế khu vực Vĩnh Lộc - Thạch Thành,,,,
CÔNG TY TNHH TM DỊCH VỤ VẬN TẢI HÙNG ĐẠT PHÁT,2803129068,,0969883116,,Chi cục Thuế khu vực Nga Sơn - Hậu Lộc,,,,
CÔNG TY CỔ PHẦN THĂNG LONG WIN,2803129131,,0968158567,,Chi cục Thuế khu vực thành phố Thanh Hóa - Đông Sơn,,,,
CÔNG TY TNHH TM - VẬN TẢI ANH TUẤN,2803129149,,,,,,,,
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ & XÂY DỰNG DT,2803129170,,,,,,,,
CÔNG TY TNHH MAY CƯƠNG THẢO,2803129163,,,,,,,,
CÔNG TY TNHH THƯƠNG HẢI TRƯỜNG GIANG,2803129156,,,,,,,,
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ CẦM ĐỒ THẾ NGỌC,2803129188,,,,,,,,
CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI BẢO ANH GROUP,BAO ANH GROUP CONSTRUCTION AND TRADING COMPANY LIMITED,2803129205,"SN 96A khu tái định cư đường Cầu Kè, khu 3, Thị Trấn Thọ Xuân, Huyện Thọ Xuân, Tỉnh Thanh Hoá, Việt Nam",NGUYỄN VĂN BÌNH,,,,,
CÔNG TY TNHH MAY GIA CÔNG VÀ CÂY CÔNG TRÌNH NGỌC QUỲNH,2803129195,,,,,,,,
CÔNG TY TNHH XÂY DỰNG VÀ DVTM MINH DŨNG,2803129212,,,,,,,,
CÔNG TY TNHH NGÂN HÀ STAR,NGAN HA STAR COMPANY LIMITED,2803129244,"Lô 38 - 39, MBQH 3515/QĐ-UBND, Phường Quảng Thắng, Thành phố Thanh Hoá, Tỉnh Thanh Hoá, Việt Nam",NGUYỄN THỊ KIM NGÂN,,,,,
